a,b,c,result
41,85,11,326
48,5,5,106
37,43,51,152
71,43,32,239
9,16,71,-5
34,49,11,204
70,14,5,177
77,16,78,124
19,68,10,232
40,38,55,139
90,37,87,204
85,37,19,262
4,93,93,194
79,57,63,266
93,41,1,308
29,41,29,152
92,48,63,265
49,68,40,262
80,13,95,104
10,22,46,40
75,13,71,118
83,22,16,216
63,30,2,214
37,55,63,176
3,96,76,218
94,98,93,389
97,26,31,241
42,51,99,138
3,51,55,104
98,58,34,336
19,35,97,46
11,35,21,106
34,54,95,135
50,62,100,186
52,97,63,332
26,63,16,225
81,30,74,178
4,17,83,-24
42,82,46,284
54,51,12,249
95,38,13,291
63,48,37,233
24,80,17,271
70,69,68,279
62,43,62,191
80,22,42,184
46,14,5,129
59,33,26,191
6,9,27,12
68,94,23,395
39,42,42,162
43,85,85,256
93,15,64,167
48,65,6,285
71,24,6,208
74,22,55,159
2,5,40,-21
41,16,78,52
41,51,25,210
45,83,13,326
32,20,49,75
35,27,93,58
89,29,63,202
97,10,79,145
79,17,14,195
83,55,8,323
20,51,8,185
61,9,39,110
84,59,86,259
38,95,62,299
40,81,22,301
77,36,3,259
48,72,91,221
33,91,24,315
93,13,14,211
82,79,79,322
12,7,66,-21
63,87,70,317
76,82,71,327
100,33,45,254
52,61,55,232
55,96,10,388
73,75,48,323
18,33,75,60
12,22,23,67
16,36,43,97
59,62,49,255
25,32,32,114
14,33,49,78
25,85,70,235
58,88,81,299
56,54,78,196
39,81,40,281
44,61,89,182
85,57,94,247
42,70,65,229
66,55,48,249
93,95,83,388
80,96,22,426
35,32,87,79
41,49,97,132
44,47,41,188
56,33,50,161
93,6,34,170
28,46,55,139
38,42,83,119
3,27,32,55
62,7,90,55
38,84,76,252
35,84,93,229
98,92,15,457
84,100,65,403
47,43,7,216
97,2,92,108
16,8,68,-12
73,37,75,182
14,29,61,54
49,88,34,328
27,16,65,37
19,58,12,200
89,13,82,135
13,83,87,188
34,31,55,106
30,38,19,155
4,35,23,90
33,99,16,347
25,99,94,253
3,34,92,16
60,17,93,78
79,79,94,301
16,32,94,34
11,49,45,124
61,44,10,244
88,90,37,409
37,47,64,151
56,5,54,73
6,48,67,89
3,32,94,8
73,70,75,281
33,5,12,69
48,7,78,39
25,60,65,165
68,50,1,285
40,58,21,233
14,75,5,248
95,15,94,141
10,58,44,150
66,14,40,134
72,95,16,413
5,46,84,64
1,50,90,62
66,32,73,155
70,75,62,303
17,100,18,316
59,73,68,269
54,78,82,260
51,57,3,270
12,43,59,94
54,44,79,161
13,41,24,125
50,86,65,293
87,31,93,174
66,95,43,374
93,81,92,337
23,94,43,285
8,2,95,-73
21,29,53,76
94,53,73,274
5,8,98,-64
95,77,67,354
57,65,11,298
29,41,54,127
56,65,22,285
92,19,99,142
2,82,93,157
33,77,92,205
88,17,48,179
26,56,63,157
100,79,61,376
63,91,9,390
38,2,11,71
80,3,17,152
37,54,6,230
35,100,54,316
7,68,95,123
1,56,16,154
36,4,21,63
18,89,84,219
81,57,62,271
7,37,90,35
15,3,48,-9
14,40,33,115
10,90,49,241
66,51,5,280
50,73,23,296
66,75,59,298
83,88,64,366
44,6,22,84
31,39,5,174
92,1,87,100
95,45,44,281
76,5,48,119
47,91,60,307
95,73,37,372
53,56,25,249
40,23,36,113
56,20,32,140
8,25,25,66
69,2,80,64
21,82,100,188
100,46,21,317
55,31,82,121
20,25,37,78
58,9,56,87
79,66,58,298
51,12,64,74
49,2,15,89
74,50,57,241
94,70,12,386
20,46,3,175
89,29,62,203
87,56,65,277
76,60,7,325
56,73,10,321
28,27,93,44
34,82,31,283
84,92,25,419
81,30,59,193
39,80,41,277
63,20,96,90
96,86,48,402
86,8,27,169
70,59,85,232
45,44,47,175
74,17,18,181
72,57,49,266
62,56,84,208
30,6,59,19
79,36,91,175
37,24,5,141
44,99,35,350
96,38,67,239
49,49,16,229
65,50,8,272
69,70,20,328
96,85,49,398
31,23,20,111
53,84,1,357
68,35,25,216
83,44,55,243
68,18,10,180
64,71,24,317
96,19,36,213
80,12,1,195
48,70,55,251
84,17,60,159
29,40,98,80
21,55,20,187
47,12,26,104
82,49,8,303
36,90,12,330
41,92,49,309
77,31,49,198
71,38,54,202
32,1,2,65
36,91,11,334
33,14,44,64
19,99,54,281
18,47,67,110
7,71,49,178
47,32,41,149
74,19,41,164
51,11,86,49
51,22,84,84
59,2,62,62
82,97,47,408
