x,a,b,c,result
35,7,100,66,107
51,90,83,63,236
48,50,25,57,132
43,83,59,61,203
29,23,46,84,23
40,73,5,93,171
58,91,53,27,171
26,81,13,54,81
47,16,29,95,140
57,74,30,15,119
53,14,96,89,199
22,40,58,33,40
36,84,21,11,105
50,42,84,12,138
51,18,97,80,195
32,48,52,3,100
44,65,69,83,217
20,33,58,50,33
37,21,93,6,114
29,1,15,60,1
52,50,86,97,233
36,10,67,62,77
27,59,84,75,59
26,33,58,81,33
49,63,67,21,151
56,60,36,30,126
60,8,42,48,98
41,64,13,24,101
40,64,80,40,184
31,88,55,29,143
32,63,32,63,95
35,96,35,47,131
23,12,10,77,12
35,61,81,3,142
26,72,38,22,72
47,32,56,42,130
58,83,31,95,209
60,21,32,70,123
53,82,68,51,201
45,3,3,57,63
22,39,40,49,39
39,24,47,87,71
45,100,74,16,190
59,72,93,52,217
43,42,23,63,128
41,32,14,70,116
47,38,55,39,132
47,77,55,34,166
21,37,22,65,37
40,47,95,32,174
27,22,71,18,22
40,21,58,36,115
30,76,82,73,158
35,38,37,68,75
54,88,99,85,272
26,44,1,13,44
40,55,64,15,134
41,31,18,42,91
39,25,41,71,66
43,62,58,67,187
54,43,26,74,143
58,69,84,100,253
30,98,85,82,183
46,49,50,97,196
57,62,34,70,166
30,31,18,15,49
46,89,71,58,218
51,18,32,23,73
22,49,62,98,49
25,29,22,54,29
25,38,55,57,38
46,56,30,76,162
37,15,28,51,43
59,65,80,91,236
29,23,16,52,23
34,35,50,35,85
35,59,47,29,106
31,5,18,2,23
33,10,66,79,76
45,2,7,43,52
55,19,83,41,143
52,46,43,59,148
29,50,20,25,50
36,38,77,97,115
55,68,10,86,164
59,43,96,95,234
33,76,14,12,90
21,90,37,26,90
40,71,61,26,158
32,36,14,20,50
35,50,46,42,96
48,6,9,81,96
55,8,37,63,108
53,65,18,82,165
29,22,63,51,22
27,67,90,37,67
38,34,7,69,41
55,89,35,71,195
50,81,41,89,211
52,98,44,65,207
56,44,58,39,141
34,60,17,10,77
25,66,63,43,66
37,36,70,44,106
41,54,37,61,152
58,73,11,46,130
23,52,31,38,52
23,9,93,86,9
21,93,42,27,93
36,9,27,36,36
50,10,80,64,154
35,52,85,98,137
40,29,38,76,143
58,57,44,22,123
35,52,88,29,140
60,37,64,84,185
37,76,70,87,146
40,62,63,1,126
27,40,81,82,40
25,10,75,62,10
44,12,61,12,85
30,71,75,6,146
40,15,96,55,166
24,74,3,84,74
50,79,33,40,152
28,8,87,26,8
44,65,44,88,197
20,67,45,99,67
20,28,30,29,28
37,9,85,27,94
20,93,97,77,93
37,94,30,34,124
58,18,4,77,99
26,32,99,26,32
25,54,14,57,54
40,25,1,26,52
27,63,38,61,63
24,47,37,83,47
60,99,71,41,211
34,32,93,55,125
27,83,11,81,83
28,50,20,44,50
60,35,5,9,49
50,67,5,62,134
27,39,66,97,39
58,29,71,71,171
38,88,57,26,145
40,6,56,30,92
39,54,44,4,98
34,82,85,52,167
33,90,42,90,132
23,80,10,86,80
40,65,37,39,141
46,20,10,25,55
22,55,20,36,55
49,49,80,35,164
24,18,34,29,18
34,34,83,78,117
31,71,66,38,137
42,44,53,87,184
31,74,7,22,81
47,76,25,23,124
51,24,45,68,137
47,73,46,60,179
32,5,85,15,90
60,69,43,6,118
34,1,95,9,96
35,55,27,93,82
41,63,63,40,166
56,70,55,6,131
34,25,90,100,115
47,49,47,1,97
58,1,8,39,48
27,22,31,75,22
40,30,17,49,96
44,58,73,76,207
44,29,84,14,127
54,74,57,21,152
41,74,97,85,256
28,50,28,21,50
26,41,47,12,41
48,1,13,92,106
44,80,94,57,231
47,21,82,72,175
51,58,68,44,170
25,86,14,77,86
59,81,52,72,205
20,74,7,46,74
40,100,63,23,186
48,80,70,40,190
41,62,22,84,168
25,29,56,2,29
34,95,92,52,187
29,12,4,71,12
26,79,32,18,79
59,75,10,17,102
42,66,63,20,149
39,12,41,90,53
54,94,59,17,170
56,3,35,48,86
34,54,19,92,73
25,68,12,96,68
36,18,41,67,59
35,53,35,68,88
34,87,57,8,144
26,43,47,72,43
44,16,3,40,59
29,24,92,48,24
58,9,42,56,107
50,27,49,99,175
26,13,22,83,13
27,90,79,9,90
31,21,13,47,34
46,82,16,85,183
23,17,41,42,17
39,37,12,57,49
54,95,99,24,218
23,61,63,51,61
53,15,12,14,41
25,3,22,8,3
24,77,93,76,77
48,30,89,77,196
49,76,76,74,226
40,44,54,48,146
50,49,72,44,165
32,11,25,13,36
28,84,83,94,84
22,78,55,58,78
43,11,60,60,131
58,16,69,96,181
37,81,4,13,85
31,92,60,92,152
29,11,68,37,11
36,49,81,78,130
30,73,24,52,97
59,48,8,26,82
57,38,50,90,178
49,60,82,22,164
23,52,54,88,52
46,61,62,70,193
21,57,1,15,57
36,64,58,76,122
45,8,92,31,131
60,78,28,13,119
59,56,26,17,99
28,76,41,40,76
28,75,79,11,75
27,79,53,16,79
43,87,38,99,224
51,90,19,10,119
38,60,81,74,141
38,79,61,8,140
46,21,80,56,157
21,20,67,98,20
48,82,11,63,156
41,20,75,71,166
26,57,10,94,57
50,41,22,59,122
49,5,18,73,96
25,53,60,36,53
20,20,27,85,20
58,63,76,29,168
48,13,5,62,80
27,8,74,71,8
55,10,81,39,130
22,88,41,74,88
