x,y,a,b,c,result
41,y1,32,62,47,141
26,y2,43,23,63,86
47,y2,60,41,63,224
52,y2,73,2,21,169
20,y1,64,22,14,64
34,y1,35,28,28,63
26,y2,56,76,18,112
39,y1,69,62,99,131
59,y1,74,7,37,118
23,y2,100,53,15,200
35,y2,6,8,73,20
36,y1,19,66,5,85
29,y1,97,24,6,97
24,y1,77,93,16,77
55,y2,52,34,1,139
23,y2,5,96,38,10
41,y1,82,4,76,162
44,y1,5,7,40,52
38,y2,52,98,54,202
55,y2,76,100,51,303
59,y1,40,78,12,130
40,y1,15,34,9,58
60,y2,8,65,43,124
37,y2,94,38,50,226
60,y1,20,10,94,124
50,y2,70,13,15,168
47,y2,100,51,41,292
40,y2,98,60,20,276
53,y2,35,62,78,210
29,y1,46,23,100,46
31,y1,12,26,100,38
20,y2,84,39,99,168
44,y1,90,43,57,190
46,y2,44,40,5,133
24,y2,64,63,100,128
24,y1,85,86,4,85
40,y2,6,44,44,100
22,y2,76,84,73,152
23,y1,52,23,52,52
30,y1,90,65,97,155
28,y1,44,50,67,44
24,y2,10,92,16,20
60,y1,61,84,77,222
56,y2,25,28,51,129
43,y2,58,70,69,255
54,y1,26,89,43,158
52,y2,41,65,53,200
46,y2,47,63,20,177
35,y2,66,41,30,173
31,y1,22,94,20,116
27,y1,78,91,97,78
20,y1,84,2,88,84
28,y1,20,83,2,20
28,y2,61,42,51,122
42,y1,60,85,37,182
33,y2,58,93,67,209
48,y2,63,90,81,297
44,y1,26,100,97,223
24,y2,20,68,41,40
25,y1,78,4,34,78
20,y1,53,71,30,53
55,y1,35,21,89,145
41,y2,71,81,55,278
57,y1,89,66,100,255
46,y2,39,60,30,168
26,y2,83,41,35,166
43,y1,56,21,99,176
26,y2,79,41,81,158
57,y1,25,57,83,165
45,y1,76,94,48,218
41,y1,31,82,21,134
44,y2,93,38,88,312
20,y1,40,52,12,40
22,y2,7,22,91,14
26,y2,55,33,1,110
20,y2,94,68,81,188
47,y1,12,86,94,192
42,y2,36,60,55,187
53,y1,56,62,86,204
50,y2,99,77,22,297
32,y2,57,65,66,179
57,y2,26,4,27,83
54,y1,96,9,67,172
54,y2,82,90,35,289
22,y2,18,15,68,36
37,y1,33,93,66,126
51,y1,92,13,76,181
22,y1,49,79,100,49
29,y1,25,70,61,25
50,y1,72,85,55,212
43,y2,38,46,80,202
25,y1,53,28,31,53
48,y1,18,53,16,87
24,y1,23,9,67,23
34,y1,23,64,59,87
49,y1,90,13,57,160
22,y1,36,32,90,36
21,y1,33,7,68,33
30,y1,39,16,1,55
46,y2,78,32,52,240
58,y2,74,51,69,268
30,y2,11,96,24,118
30,y1,95,40,64,135
49,y2,22,20,3,67
32,y1,18,56,42,74
21,y2,57,54,63,114
48,y1,86,84,74,244
37,y1,75,24,24,99
49,y1,13,54,15,82
20,y1,13,76,100,13
50,y2,97,33,22,249
27,y1,69,98,61,69
23,y2,39,84,70,78
23,y1,31,100,95,31
28,y1,47,72,11,47
49,y1,98,99,20,217
25,y2,68,18,23,136
51,y2,73,36,61,243
35,y2,40,30,88,110
23,y2,84,19,33,168
23,y1,99,4,92,99
49,y2,25,87,43,180
60,y2,76,45,8,205
33,y2,75,73,12,223
56,y1,80,62,100,242
37,y2,20,83,11,123
51,y2,20,1,30,71
48,y1,79,83,89,251
34,y2,57,37,76,151
46,y1,73,53,30,156
51,y1,22,68,18,108
50,y2,57,8,41,163
45,y1,100,57,83,240
38,y2,10,74,65,94
57,y1,79,91,91,261
53,y1,66,6,93,165
38,y2,68,38,42,174
49,y2,46,64,37,193
21,y2,42,43,25,84
55,y1,100,33,47,180
28,y2,25,35,1,50
60,y1,40,64,64,168
48,y1,43,67,6,116
28,y2,1,66,93,2
54,y1,5,68,12,85
28,y2,35,15,46,70
41,y1,15,42,12,69
20,y2,72,46,90,144
27,y2,52,44,50,104
43,y2,14,99,62,189
45,y1,58,15,62,135
44,y2,27,41,59,154
23,y2,76,34,97,152
49,y2,88,38,1,215
50,y1,80,28,74,182
20,y2,33,51,100,66
47,y2,5,98,23,131
33,y2,55,36,63,146
48,y1,48,56,73,177
47,y2,90,24,46,250
21,y2,45,37,25,90
45,y1,89,17,73,179
36,y1,98,64,70,162
60,y1,70,30,18,118
34,y2,43,95,18,181
57,y1,41,31,10,82
30,y2,22,9,29,53
38,y2,34,27,97,95
51,y1,95,67,57,219
52,y1,57,45,15,117
39,y1,51,25,18,76
36,y2,21,52,14,94
54,y1,11,4,70,85
58,y2,51,48,88,238
51,y2,72,80,14,238
45,y2,74,44,100,292
34,y2,17,65,8,99
53,y1,28,31,99,158
56,y2,33,3,46,115
49,y1,85,16,70,171
51,y1,83,66,9,158
22,y2,77,9,58,154
46,y2,32,18,18,100
58,y2,43,50,25,161
51,y2,86,53,62,287
42,y1,57,69,78,204
22,y1,2,7,6,2
52,y1,48,19,54,121
35,y1,69,76,91,145
40,y1,96,65,3,164
20,y1,56,28,10,56
54,y2,32,23,87,174
25,y1,82,11,30,82
32,y2,19,71,74,109
59,y2,93,22,15,223
46,y2,31,39,92,193
59,y1,97,4,43,144
41,y2,78,95,52,303
40,y1,74,33,18,125
23,y1,49,36,35,49
47,y2,2,95,97,196
28,y1,64,24,43,64
32,y2,74,32,23,180
36,y2,91,47,76,229
42,y2,85,99,7,276
28,y2,79,89,99,158
44,y1,56,35,63,154
54,y2,41,35,98,215
50,y1,27,53,88,168
42,y1,88,20,28,136
36,y1,8,56,84,64
45,y1,34,18,8,60
44,y1,39,31,29,99
42,y1,36,89,58,183
37,y2,5,43,79,53
48,y2,58,9,58,183
48,y1,13,36,72,121
23,y2,34,66,9,68
26,y1,13,74,66,13
45,y1,54,32,75,161
31,y1,75,96,33,171
53,y1,49,82,8,139
33,y1,32,5,94,37
24,y2,21,21,15,42
33,y1,1,80,11,81
57,y2,56,42,99,253
33,y2,23,39,55,85
32,y2,44,82,21,170
40,y1,85,62,63,210
46,y1,94,89,28,211
50,y2,10,27,69,116
44,y2,43,17,62,165
26,y1,27,89,46,27
27,y2,87,20,96,174
28,y2,16,1,3,32
28,y1,18,89,14,18
20,y2,16,43,30,32
48,y2,74,17,76,241
55,y1,86,34,92,212
51,y2,24,54,30,132
37,y2,76,28,99,180
58,y2,6,42,36,90
21,y1,58,40,29,58
35,y1,79,20,74,99
29,y1,5,9,80,5
21,y2,7,80,8,14
46,y2,15,45,100,175
60,y2,62,64,64,252
20,y1,3,90,45,3
26,y1,69,11,96,69
58,y2,90,43,52,275
50,y2,18,92,29,157
57,y2,72,97,100,341
57,y2,80,57,40,257
31,y1,67,4,52,71
39,y1,52,67,11,119
53,y1,65,47,2,114
57,y1,79,90,47,216
44,y2,97,81,89,364
54,y1,37,5,74,116
41,y1,51,62,51,164
47,y1,15,93,53,161
60,y2,7,53,50,117
34,y1,85,54,79,139
23,y1,94,94,91,94
22,y2,29,82,55,58
25,y1,45,14,73,45
48,y1,4,68,1,73
44,y2,17,56,20,110
41,y2,5,96,59,165
30,y1,71,61,67,132
27,y1,3,39,20,3
34,y2,58,21,76,137
43,y1,77,33,66,176
22,y1,86,95,40,86
26,y1,38,19,1,38
32,y1,59,21,26,80
41,y1,37,56,6,99
50,y2,30,54,3,117
37,y1,21,38,89,59
31,y2,8,1,64,17
60,y2,2,62,97,163
56,y1,85,33,90,208
24,y2,38,7,8,76
51,y2,50,85,31,216
38,y2,91,84,8,266
44,y2,99,3,44,245
39,y2,42,29,70,113
38,y1,59,32,82,91
31,y2,26,83,96,135
58,y2,55,51,28,189
51,y2,84,88,7,263
58,y1,11,97,9,117
26,y2,75,75,52,150
24,y1,79,15,61,79
35,y1,92,69,24,161
59,y1,12,14,79,105
30,y2,35,81,17,151
39,y2,89,25,93,203
45,y2,50,66,33,199
59,y1,81,42,57,180
51,y2,59,36,13,167
54,y1,9,40,69,118
30,y2,17,61,63,95
44,y2,97,45,98,337
57,y1,82,50,93,225
45,y2,25,10,26,86
24,y2,46,2,100,92
43,y1,24,90,71,185
36,y2,92,58,78,242
41,y1,65,61,28,154
59,y1,79,40,12,131
29,y2,42,66,9,84
30,y2,34,95,31,163
24,y1,57,43,4,57
35,y1,15,70,25,85
47,y2,68,80,15,231
30,y1,75,99,29,174
22,y2,20,64,1,40
58,y2,79,16,62,236
30,y2,16,69,70,101
31,y1,93,10,42,103
43,y1,28,65,35,128
26,y1,81,57,8,81
60,y2,77,13,53,220
20,y1,56,92,85,56
47,y1,92,81,63,236
54,y2,33,93,14,173
48,y2,97,50,78,322
58,y1,63,41,53,157
27,y2,98,99,65,196
25,y2,35,13,72,70
57,y1,12,99,74,185
53,y2,87,92,30,296
22,y2,11,11,85,22
32,y2,10,25,94,45
60,y2,39,46,94,218
26,y2,44,47,4,88
50,y1,9,25,70,104
60,y2,20,56,82,178
48,y2,14,78,84,190
25,y1,73,41,57,73
30,y2,5,96,80,106
57,y1,20,85,71,176
22,y1,61,35,68,61
42,y1,89,7,77,173
48,y2,75,20,100,270
33,y2,30,88,14,148
23,y1,100,49,90,100
28,y2,41,23,4,82
28,y1,3,84,93,3
56,y1,88,2,88,178
54,y2,84,78,28,274
52,y1,40,17,30,87
48,y1,50,43,8,101
43,y1,54,83,5,142
29,y1,99,76,90,99
41,y2,73,97,63,306
60,y1,5,8,19,32
35,y1,88,44,78,132
53,y1,97,29,29,155
24,y1,45,20,18,45
31,y2,90,98,23,278
24,y1,40,21,49,40
39,y2,56,6,58,118
59,y2,99,50,93,341
25,y2,39,15,32,78
24,y1,35,55,39,35
30,y1,79,51,18,130
25,y1,8,42,82,8
31,y1,65,66,44,131
52,y1,14,96,24,134
32,y2,67,78,60,212
58,y1,85,7,57,149
31,y1,92,95,25,187
41,y1,18,89,23,130
40,y2,35,97,79,246
55,y2,83,54,79,299
38,y1,90,40,93,130
23,y2,91,59,42,182
45,y2,40,51,34,165
45,y2,36,14,80,166
27,y2,54,16,76,108
41,y2,55,68,23,201
50,y1,97,94,94,285
22,y2,81,44,98,162
51,y2,40,94,69,243
38,y1,39,41,17,80
40,y2,76,14,87,253
50,y2,65,60,93,283
57,y1,64,52,17,133
54,y1,17,27,7,51
39,y2,63,83,92,209
31,y2,42,25,19,109
45,y2,14,39,19,86
20,y2,90,40,47,180
39,y1,62,85,67,147
29,y1,68,53,100,68
59,y2,10,14,34,68
25,y1,43,67,58,43
37,y2,95,5,97,195
45,y2,87,48,91,313
40,y1,77,28,67,172
58,y1,33,34,57,124
22,y1,94,27,32,94
25,y2,52,46,52,104
49,y2,39,40,15,133
47,y2,56,23,33,168
58,y1,46,12,86,144
43,y1,30,63,81,174
24,y1,50,2,80,50
28,y1,5,25,8,5
20,y2,65,82,58,130
44,y2,9,54,4,76
47,y2,34,20,73,161
26,y2,43,71,58,86
42,y1,17,94,78,189
33,y1,97,95,90,192
32,y2,41,41,47,123
29,y1,26,3,91,26
38,y1,2,19,41,21
55,y1,69,21,10,100
21,y1,20,30,49,20
20,y1,28,88,37,28
39,y2,64,96,19,224
52,y2,11,57,72,151
60,y1,22,23,65,110
44,y1,99,74,7,180
29,y2,62,93,98,124
35,y2,11,74,84,96
